Taxa and Samples	PR10B	PR11B	PR12B	PR13B	PR14B	PR15B	PR16B	PR17B	PR18B	PR19B	PR20B	PR21B	PR22B	PR23B	PR24B	PR25B	PR26B	PR27B	PR28B	PR29B	PR30B	PR31B	PR32B	PR33B	PR34B	PR35B	PR36B	PR5B	PR6B	PR7B	PR8B	PR9B
cd102a8227a317b8425e6984dc51510a	1.20453605223187	7.62365255761844	7.14247333315933	5.93642508410152	3.92868023992027	0	0	0	0	8.96706788818496	5.76768161437952	8.42014521396374	7.61099818112736	0	0	0	0	6.4575760198177	7.61383680519617	6.81743261630774	8.49166448328467	3.19555324786376	2.80998588349208	1.38237889500748	3.56700659465876	2.21033511198404	3.99675806825503	0	0	0	0	0
7c3cd71248f72b8b37f7904162066ceb	0	9.14504241993054	8.02456628081472	7.58066092200423	6.58433483871741	5.21658099481357	3.78352820626964	0	0	7.97313750910691	3.15565087046019	4.95254086707262	5.13738744963405	0	0	0	0	7.31250143411529	7.50615770779597	6.20535917114982	8.63800990217842	5.00921246421344	3.98586867061838	2.42271735707557	4.59541681844442	4.2093701541856	4.6971145640726	0	0	0	0	3.00168440771135
2c922b1242fd6d82c21eabcb77ef50da	0	0	0	3.2782037461955	3.52563645155136	0	0	0	0	5.07644786369796	8.50329740267968	6.3621107939543	7.00492699246903	0	0	5.15780347961436	0	5.37992035953731	5.93882219672295	5.1909544061368	6.23558439208329	7.27038449303258	7.67857003701056	4.58236578706955	3.69545073104127	7.04003533021159	6.70255274693214	0	0	0	0	0
163a8bf4f42b641d1f6e78e7ead7f6f4	6.68315256868864	0	0	2.41973742463121	4.09458507745374	8.40845829007026	8.54952012011389	5.68113192055673	5.6233600332174	0	0	0	0	0	0	7.08169999333734	0	5.33053112477852	3.98114069417931	3.87264954328946	0	5.64292780118046	6.28264010713752	7.1884174189728	6.38829686336391	7.10409588983782	7.01893612738018	0	0	0	0	7.55650349668612
e2254185cf599c97bcc00fb339f06890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3430318443094	14.5323804184366	0
4b106944bbd95c48ffb8b911a9d8e3e2	1.3954957087471	0	0	0	0	0	0	2.35506346710009	3.36133942585884	0	0	0	0	0	0	0	0	5.28680864307711	4.10441937310418	1.84785799219917	0	5.6771706968279	6.38024263790999	7.54651184981444	7.108776322755	8.84691226053099	8.79938887409327	0	0	0	0	0
59b0f3b40069458b051058bd18d264ce	0	0	0	0	0	0	0	0	0	10.4123795210537	8.96364605127809	7.51025233908125	7.08375958647699	0	0	2.90804892167708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9001b857f95692804d32607a90aa2bb5	0	0	0	0	0	0	0	0.753628408550604	0	9.9192486023092	8.6694905979087	8.72292285163783	7.7853539760651	0	0	3.20049981548761	0	0	0	0	0	0	0	0	0	0	1.1356181952737	0	0	0	0	0
fd6bac2f606c693f1815cd72b62fa7c9	4.40747426317047	6.1601960794399	6.57334045823625	10.0071849169464	9.40201769216088	7.19294968000364	7.98977862278601	1.50050008998213	0	0	0	0	0	0	0	1.76961881148496	3.7823216078377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32375678893633
22378ae456f744c0e93beb456b921a6d	0	0	0	0	0	0	0	0	0	5.84809141964358	5.32489261589121	10.103999688245	9.00175072364516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
